Id,Category
0,2124.8334583456717
1,2014.2872204124094
2,2080.337944776941
3,2183.615643768732
4,2365.491505165311
5,2165.094240348617
6,1909.6979709696568
7,2486.581929851849
8,2148.7813336360996
9,2450.3305791071375
10,2488.247205423481
11,1999.8264028173382
12,2322.595846470498
13,1976.8222616348048
14,2395.4365002329964
15,2495.7211071425245
16,2228.9780356817405
17,2270.881807624545
18,2492.34328439647
19,2140.1735385330376
20,2568.0953310727723
21,2231.9418610341454
22,1682.822350412997
23,2081.1266599004207
24,2109.7564663267403
25,2038.5086693454316
26,1754.6441389163451
27,2090.191447386279
28,2369.785965879495
29,2024.7843583586794
30,2047.9580962635468
31,1960.616719060678
32,1924.9091338974563
33,2324.247489109349
34,2169.7507442432143
35,1565.1242856556742
36,1832.736704921329
37,1870.3312049200208
38,2655.7879470461266
39,1985.777612874951
40,2425.5470446433455
41,2214.845177112676
42,1889.3332222624663
43,2310.3456036833677
44,2302.540678372367
45,2122.769826421097
46,1940.7095665987072
47,1893.8508004707137
48,2239.8278191282766
49,1953.623083011566
50,2172.478563763586
51,2516.4275610590576
52,2143.0807326171835
53,1817.6323842813704
54,2337.769593880158
55,2253.0661770550832
56,2171.1044494242487
57,1595.7806921198862
58,2955.3684475298824
59,2899.0639033773205
60,1668.0653559998186
61,2236.1633074670563
62,1149.5174572441592
63,1513.1006910143547
64,2681.3622577713068
65,1955.0317429503864
66,1626.5813440251682
67,2275.426800186937
68,2138.9227669142624
69,1840.280579837243
70,1684.021945836931
71,2221.0215712106083
72,2053.0007934825967
73,1672.5024035336207
74,2435.923125409539
75,1845.1003002608813
76,2407.20145781439
77,2162.175283113154
78,2227.9244252640733
79,2262.4490824068475
80,1989.3195904513439
81,1708.9595383649953
82,2232.107046554552
83,1780.9115675177154
84,2368.2655045273073
85,2281.3888161345226
86,2602.45398306341
87,2214.220575621812
88,1731.908191570594
89,2209.737636741586
90,1989.8489406665078
91,2256.556771718612
92,1801.5105096541315
93,2370.295170428645
94,2073.9521434261146
95,1538.338804588704
96,2221.3426235269562
97,1406.3008301910443
98,2809.051878596696
99,2211.631968035502
100,2488.094724636127
101,2088.455437880976
102,2299.1078312661803
103,2001.5430842985124
104,2200.056830490041
105,2158.648443874748
106,2426.1171985771425
107,2522.6588940011206
108,2286.1635980015503
109,1919.2553097001605
110,2098.1791211535274
111,2161.7564434978926
112,2374.9943489235234
113,2344.4567024185326
114,2503.1476312005466
115,2073.775507745894
116,2299.317272431199
117,2341.524922069223
118,2080.8748834912262
119,2065.7795007526324
120,2417.382367124336
121,2793.4355144738342
122,2375.218867237375
123,2531.473010238737
124,1678.7426384795435
125,2392.1012266166763
126,2601.869347909876
127,2005.3368627733785
128,2119.142724264705
129,2498.0606984017927
130,1655.993463266128
131,1947.7281116328516
132,2377.4418633385576
133,1989.2760036983093
134,1802.847959570583
135,2313.3764760411395
136,1530.1085948821928
137,2581.9397514512116
138,1913.824624975882
139,1694.71997042882
140,2271.9209477577538
141,2254.6450691819564
142,2297.0131106170143
143,2352.1357192678834
144,2099.32018788387
145,2809.417733188297
146,1973.0186541443718
147,2430.1204856969675
148,1858.9931592512307
149,2275.268383104886
150,2319.366296665667
151,2325.086301621695
152,1595.084213199677
153,2245.707224738296
154,2624.3311025814423
155,2205.2915833603975
156,2168.0091287999307
157,2278.422447029255
158,1960.6630679876741
159,1461.5602566474004
160,2377.2659896368436
161,1903.86383718515
162,2112.4116853767823
163,2450.425633022109
164,2326.490277019456
165,2132.128829510276
166,2072.6398865835263
167,1829.1685071471181
168,2505.758193656317
169,2373.157231078643
170,1614.57699699299
171,2139.694918867739
172,2183.912376532755
173,1802.6671574341608
174,2469.9635011736123
175,2083.0395066258916
176,1957.712116268074
177,2155.020102156363
178,2762.3636598994553
179,3030.3441432723093
180,1758.6850383590672
181,2039.323727366425
182,2570.3121358121975
183,1672.7589438512389
184,1694.3240228040488
185,1730.9888291374577
186,2204.7198670402727
187,2060.959899815941
188,2244.2307910654763
189,2014.802970631387
190,2178.7565842384
191,1479.7467879651233
192,2164.9056677260714
193,2211.334396511291
194,1847.812700339834
195,1660.8452632733251
196,2679.0097147733204
197,1734.617322487492
198,2093.813144607237
199,2220.7824657692163
200,2123.7359905530325
201,1632.0493017709905
202,2461.62685044505
203,2091.649305757555
204,1980.604520728423
205,2292.984824653947
206,2269.4565498128604
207,1818.6170782221598
208,2610.3571603492805
209,1649.10211236867
210,2482.428436255442
211,2373.1971086195636
212,2303.593510150673
213,2435.387053187655
214,2319.3140180632863
215,1781.4670102812336
216,1858.775760044491
217,2450.642620742616
218,2102.641111194021
219,2071.1266010877416
220,2105.499988432298
221,1569.0895758635074
222,2184.606308851644
223,2394.74805673931
224,2599.752518193935
225,2281.414583647048
226,2062.8830140071377
227,1990.6627494016236
228,2335.9482247210844
229,2293.9680874242918
230,1968.979975475002
231,1780.061773118562
232,2423.7895294774344
233,2708.0871608354046
234,1871.2277880827926
235,1860.8655711118295
236,1950.5608746050577
237,2871.8962316650473
238,1981.7684579931822
239,2297.4178029514183
240,2217.550511239481
241,1947.3210185293638
242,2314.2724422629162
243,2317.086976349439
244,1954.8082246332729
245,2361.9110996447066
246,2291.0330874427495
247,2328.785378029737
248,2603.1004864963948
249,1620.8496027629317
250,2632.439186759596
251,1607.3148825532028
252,2255.732682867662
253,1696.000515489095
254,2047.7750646686054
255,2025.4296064589073
256,2138.3882784715543
257,1781.622427871332
258,2657.862834893862
259,2152.0622598518776
260,1681.0502374458465
261,1901.3738907558436
262,2260.25533383595
263,2105.5943373709883
264,1777.0618120450927
265,2724.382259668703
266,1960.7517444686882
267,2369.2271226315406
268,2139.5417954709997
269,2194.562133495837
270,1619.4213077807954
271,2112.215532555585
272,2207.8619784029925
273,2648.140089804789
274,2093.478371819567
275,1533.221411307614
276,2015.0232937282124
277,2221.062269497841
278,3026.139753012071
279,2250.287390746353
280,1927.8475387487028
281,2460.1036160917006
282,1317.1491298496906
283,2604.769933892209
284,2268.9234374397447
285,2013.0140084808227
286,1752.2992163889253
287,1996.763073092795
288,2262.301388031822
289,2340.964586991376
290,2148.7101158547575
291,2090.2654550317875
292,2131.2821834066135
293,2088.0269904389847
294,1817.0021408893963
295,2160.8510903639417
296,2392.5278980048142
297,2347.1977494203275
298,2477.426780792729
299,1736.3034014890918
300,2376.8214553594116
301,2273.709194478889
302,1851.7066970564401
303,2219.316960266317
304,2480.7624184241618
305,2189.312741174762
306,2722.6028437257646
307,1898.916911387525
308,1840.8641147354624
309,2598.6276426057448
310,2169.618795079937
311,2572.54919484998
312,2060.785504307335
313,2187.0596077898435
